,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,country_cyrilic
109,Cawnpore,Cawnpore,26.46,80.32,India,IN,IND,Uttar Pradesh,,3162000.0,Индија
110,Kano,Kano,12.0,8.52,Nigeria,NG,NGA,Kano,admin,3140000.0,Нигерија
111,Tel Aviv-Yafo,Tel Aviv-Yafo,32.08,34.77,Israel,IL,ISR,Tel Aviv,admin,3112000.0,Израел
112,Addis Ababa,Addis Ababa,9.0333,38.7,Ethiopia,ET,ETH,Ādīs Ābeba,primary,3100000.0,Етиопија
113,Curitiba,Curitiba,-25.42,-49.32,Brazil,BR,BRA,Paraná,admin,3084000.0,Бразил
114,Zibo,Zibo,36.8,118.05,China,CN,CHN,Shandong,,3061000.0,Кина
115,Jeddah,Jeddah,21.5169,39.2192,Saudi Arabia,SA,SAU,Makkah al Mukarramah,,3012000.0,Саудиска Арабија
116,Nairobi,Nairobi,-1.2833,36.8167,Kenya,KE,KEN,Nairobi City,primary,3010000.0,Кенија
117,Hangzhou,Hangzhou,30.25,120.17,China,CN,CHN,Zhejiang,admin,3007000.0,Кина
118,Benoni,Benoni,-26.1496,28.3299,South Africa,ZA,ZAF,Gauteng,,2986000.0,Јужноафриканска Република
119,Caracas,Caracas,10.501,-66.917,Venezuela,VE,VEN,Distrito Capital,primary,2985000.0,Венецуела
120,Milan,Milan,45.47,9.205,Italy,IT,ITA,Lombardy,admin,2945000.0,Италија
121,Stuttgart,Stuttgart,48.78,9.2,Germany,DE,DEU,Baden-Württemberg,admin,2944700.0,Германија
122,Kunming,Kunming,25.07,102.68,China,CN,CHN,Yunnan,admin,2931000.0,Кина
123,Dar es Salaam,Dar es Salaam,-6.8,39.2683,Tanzania,TZ,TZA,Dar es Salaam,primary,2930000.0,Танзанија
124,Minneapolis,Minneapolis,44.9635,-93.2678,United States,US,USA,Minnesota,,2926757.0,Соединети Американски Држави
125,Jaipur,Jaipur,26.9211,75.81,India,IN,IND,Rājasthān,admin,2917000.0,Индија
126,Taiyuan,Taiyuan,37.875,112.5451,China,CN,CHN,Shanxi,admin,2913000.0,Кина
127,Frankfurt,Frankfurt,50.1,8.675,Germany,DE,DEU,Hesse,minor,2895000.0,Германија
128,Qingdao,Qingdao,36.09,120.33,China,CN,CHN,Shandong,minor,2866000.0,Кина
129,Surabaya,Surabaya,-7.2492,112.7508,Indonesia,ID,IDN,Jawa Timur,admin,2845000.0,Индонезија
130,Lisbon,Lisbon,38.7227,-9.1449,Portugal,PT,PRT,Lisboa,primary,2812000.0,Португалија
131,Tampa,Tampa,27.9942,-82.4451,United States,US,USA,Florida,,2804240.0,Соединети Американски Држави
132,Jinan,Jinan,36.675,116.995,China,CN,CHN,Shandong,admin,2798000.0,Кина
133,Fukuoka,Fukuoka,33.595,130.41,Japan,JP,JPN,Fukuoka,admin,2792000.0,Јапонија
134,Campinas,Campinas,-22.9,-47.1,Brazil,BR,BRA,São Paulo,,2791000.0,Бразил
135,Denver,Denver,39.7621,-104.8759,United States,US,USA,Colorado,admin,2787266.0,Соединети Американски Држави
136,Kaohsiung,Kaohsiung,22.6333,120.2666,Taiwan,TW,TWN,Kaohsiung,admin,2769072.0,Тајван
137,Quezon City,Quezon City,14.6504,121.03,Philippines,PH,PHL,Quezon,admin,2761720.0,Филипини
138,Katowice,Katowice,50.2604,19.02,Poland,PL,POL,Śląskie,admin,2746000.0,Полска
139,Aleppo,Aleppo,36.23,37.17,Syria,SY,SYR,Ḩalab,admin,2738000.0,Сирија
140,Durban,Durban,-29.865,30.98,South Africa,ZA,ZAF,KwaZulu-Natal,,2729000.0,Јужноафриканска Република
141,Kyiv,Kyiv,50.4334,30.5166,Ukraine,UA,UKR,"Kyyiv, Misto",primary,2709000.0,Украина
142,Lucknow,Lucknow,26.855,80.915,India,IN,IND,Uttar Pradesh,admin,2695000.0,Индија
143,Giza,Giza,30.01,31.19,Egypt,EG,EGY,Al Jīzah,admin,2681863.0,Египет
144,Zhengzhou,Zhengzhou,34.755,113.6651,China,CN,CHN,Henan,admin,2636000.0,Кина
145,Taichung,Taichung,24.1521,120.6817,Taiwan,TW,TWN,Taichung,admin,2629323.0,Тајван
146,Brooklyn,Brooklyn,40.6501,-73.9496,United States,US,USA,New York,,2629150.0,Соединети Американски Држави
147,Ibadan,Ibadan,7.38,3.93,Nigeria,NG,NGA,Oyo,admin,2628000.0,Нигерија
148,Faisalabad,Faisalabad,31.41,73.11,Pakistan,PK,PAK,Punjab,minor,2617000.0,Пакистан
149,Fuzhou,Fuzhou,26.08,119.3,China,CN,CHN,Fujian,admin,2606000.0,Кина
150,Changsha,Changsha,28.2,112.97,China,CN,CHN,Hunan,admin,2604000.0,Кина
151,Dakar,Dakar,14.7158,-17.4731,Senegal,SN,SEN,Dakar,primary,2604000.0,Сенегал
152,İzmir,Izmir,38.4361,27.1518,Turkey,TR,TUR,İzmir,admin,2587000.0,Турција
153,Xiangtan,Xiangtan,27.8504,112.9,China,CN,CHN,Hunan,,2586948.0,Кина
154,Lanzhou,Lanzhou,36.056,103.792,China,CN,CHN,Gansu,admin,2561000.0,Кина
155,Incheon,Incheon,37.4761,126.6422,"Korea, South",KR,KOR,Incheon,admin,2550000.0,Јужна Кореја
156,Sapporo,Sapporo,43.075,141.34,Japan,JP,JPN,Hokkaidō,admin,2544000.0,Јапонија
157,Xiamen,Xiamen,24.45,118.08,China,CN,CHN,Fujian,minor,2519000.0,Кина
